       Document_No  Dominant_Topic  Topic_Perc_Contrib                                           Keywords                                               Text
40              40            16.0              0.0833  clinic, studi, find, respon, method, signific,...        pravastatin is associ with myotonia in anim
41              41             1.0              0.0887  disea, associ, liver, disord, abnorm, injuri, ...  thi case suggest that sarcoidosi and pravastat...
42              42             7.0              0.0750  patient, receiv, pulmonari, describ, seizur, i...  hypersensit to aspirin can be manifest as acut...
43              43             7.0              0.0750  patient, receiv, pulmonari, describ, seizur, i...  hypersensit to aspirin can be manifest as acut...
44              44             7.0              0.0750  patient, receiv, pulmonari, describ, seizur, i...  hypersensit to aspirin can be manifest as acut...
45              45             0.0              0.1176  drug, syndrom, reaction, effect, associ, adver...  conclus fix drug erupt is associ with mani dru...
46              46             0.0              0.0823  drug, syndrom, reaction, effect, associ, adver...           fix drug erupt in hand caus by omeprazol
47              47            11.0              0.1102  case, report, thi, describ, present, previous,...  the object of thi report is to describ a case ...
48              48            17.0              0.1522  develop, yearold, woman, present, week, man, f...  a 26yearold japanes man who had been receiv me...
49              49            17.0              0.1570  develop, yearold, woman, present, week, man, f...  a 26yearold japanes man who had been receiv me...
50              50            17.0              0.1586  develop, yearold, woman, present, week, man, f...  a 26yearold japanes man who had been receiv me...
51              51            17.0              0.1586  develop, yearold, woman, present, week, man, f...  a 26yearold japanes man who had been receiv me...
52              52            17.0              0.0764  develop, yearold, woman, present, week, man, f...  acut gener exanthemat pustulosi induc by salaz...
53              53            11.0              0.0763  case, report, thi, describ, present, previous,...  we report a case of acut gener exanthemat pust...
54              54            19.0              0.1528  level, improv, normal, increas, serum, increa,...  case summari a 39yearold white jewish schizoph...
55              55            19.0              0.0891  level, improv, normal, increas, serum, increa,...  discuss olanzapin like other atyp antipsychot ...
56              56            19.0              0.1004  level, improv, normal, increas, serum, increa,...  mark elev of serum creatin kinas associ with o...
57              57            19.0              0.1193  level, improv, normal, increas, serum, increa,...  object to report a case of mark elev of serum ...
58              58            13.0              0.0643  acut, renal, patient, failur, chronic, hepat, ...                             diclofenacassoci hepat
59              59            15.0              0.0829  therapi, dure, sever, occur, patient, due, tre...  thi patient who had a histori of osteoarthr ha...
60              60            10.0              0.0929  patient, toxic, sever, treatment, develop, res...  2cda induc lymphocytopenia which may explain t...
61              61             2.0              0.1047  pain, inject, complet, complic, success, surge...  one case of priapism occur dure heparin therap...
62              62             2.0              0.0689  pain, inject, complet, complic, success, surge...           priapism as a complic of heparin therapi
63              63             8.0              0.1210  caus, possibl, conclus, complic, rare, suggest...  the associ between heparin and priapism is oft...
64              64             8.0              0.1210  caus, possibl, conclus, complic, rare, suggest...  the associ between heparin and priapism is oft...
65              65            12.0              0.0970  wa, symptom, follow, initi, discontinu, result...  it carri a wellknown risk of neutropenia and a...
66              66            12.0              0.0970  wa, symptom, follow, initi, discontinu, result...  it carri a wellknown risk of neutropenia and a...
67              67             6.0              0.1019  show, diagnosi, reveal, biopsi, examin, cell, ...  object we report a patient who develop neutrop...
68              68            13.0              0.0932  acut, renal, patient, failur, chronic, hepat, ...  acut neutrophil dermatosi induc by alltransret...
69              69            12.0              0.1028  wa, symptom, follow, initi, discontinu, result...  find on discontinu and rechalleng support the ...
70              70             6.0              0.0789  show, diagnosi, reveal, biopsi, examin, cell, ...  hair loss associ with paroxetin treatment a ca...
71              71             6.0              0.0750  show, diagnosi, reveal, biopsi, examin, cell, ...  we report on a 37yearold femal who complain of...
72              72            10.0              0.0894  patient, toxic, sever, treatment, develop, res...  conclus patient with insulin allergi may not h...
73              73            10.0              0.1550  patient, toxic, sever, treatment, develop, res...  method the patient requir insulin desensit for...
74              74            10.0              0.1532  patient, toxic, sever, treatment, develop, res...  method the patient requir insulin desensit for...
75              75            10.0              0.1407  patient, toxic, sever, treatment, develop, res...  method the patient requir insulin desensit for...
76              76            10.0              0.1532  patient, toxic, sever, treatment, develop, res...  method the patient requir insulin desensit for...
77              77            10.0              0.1461  patient, toxic, sever, treatment, develop, res...  method the patient requir insulin desensit for...
78              78            10.0              0.1461  patient, toxic, sever, treatment, develop, res...  method the patient requir insulin desensit for...
79              79            10.0              0.1490  patient, toxic, sever, treatment, develop, res...  object the purpos of thi studi wa to determin ...
80              80            10.0              0.1490  patient, toxic, sever, treatment, develop, res...  object the purpos of thi studi wa to determin ...
81              81            10.0              0.1496  patient, toxic, sever, treatment, develop, res...  patient receiv neutral protamin hagedorn nph i...
82              82             0.0              0.0789  drug, syndrom, reaction, effect, associ, adver...  protamin allergi as a complic of insulin hyper...
83              83             9.0              0.0806  day, dose, administr, oral, receiv, intraven, ...  she continu to receiv regular insulin 4 time p...
84              84            10.0              0.1174  patient, toxic, sever, treatment, develop, res...  the patient had recurr of urticaria and angioe...
85              85            10.0              0.1156  patient, toxic, sever, treatment, develop, res...  the patient had recurr of urticaria and angioe...
86              86            10.0              0.1156  patient, toxic, sever, treatment, develop, res...  the patient had recurr of urticaria and angioe...
87              87            10.0              0.1174  patient, toxic, sever, treatment, develop, res...  the patient had recurr of urticaria and angioe...
88              88            16.0              0.0917  clinic, studi, find, respon, method, signific,...  a 5monthold infant becam letharg and poorli re...
89              89            16.0              0.0917  clinic, studi, find, respon, method, signific,...  a 5monthold infant becam letharg and poorli re...
90              90            19.0              0.0948  level, improv, normal, increas, serum, increa,...  an 11dayold infant becam letharg and apneic af...
91              91            19.0              0.0948  level, improv, normal, increas, serum, increa,...  an 11dayold infant becam letharg and apneic af...
92              92             4.0              0.0923  treatment, thi, corticosteroid, side_effect, s...  appar central nervou system depress in infant ...
93              93             4.0              0.0872  treatment, thi, corticosteroid, side_effect, s...  conclus topic brimonidin may be associ with ce...
94              94            11.0              0.0902  case, report, thi, describ, present, previous,...  purpos to report two case in which topic brimo...
95              95             1.0              0.1658  disea, associ, liver, disord, abnorm, injuri, ...  ceftriaxon wa approv in 1997 for the treatment...
96              96             1.0              0.1626  disea, associ, liver, disord, abnorm, injuri, ...  ceftriaxon wa approv in 1997 for the treatment...
97              97             1.0              0.0923  disea, associ, liver, disord, abnorm, injuri, ...  hepatobiliari abnorm secondari to ceftriaxon u...
98              98             7.0              0.0744  patient, receiv, pulmonari, describ, seizur, i...  anterior lumbosacr radiculopathi after intrath...
99              99             7.0              0.0815  patient, receiv, pulmonari, describ, seizur, i...  report are three children who develop progress...
100            100            19.0              0.1479  level, improv, normal, increas, serum, increa,...  dure the first day of arsen trioxid treatment ...
101            101            19.0              0.1577  level, improv, normal, increas, serum, increa,...  dure the first day of arsen trioxid treatment ...
102            102            17.0              0.2655  develop, yearold, woman, present, week, man, f...  a 22yearold black man develop fever chill fati...
103            103            17.0              0.2623  develop, yearold, woman, present, week, man, f...  a 22yearold black man develop fever chill fati...
104            104            17.0              0.2688  develop, yearold, woman, present, week, man, f...  a 22yearold black man develop fever chill fati...
105            105            17.0              0.2672  develop, yearold, woman, present, week, man, f...  a 22yearold black man develop fever chill fati...
106            106            17.0              0.2655  develop, yearold, woman, present, week, man, f...  a 22yearold black man develop fever chill fati...
107            107            16.0              0.0738  clinic, studi, find, respon, method, signific,...  with the neg viral serolog the clinic pictur w...
108            108             4.0              0.0884  treatment, thi, corticosteroid, side_effect, s...  we conclud that the presenc of thi metabol def...
109            109             1.0              0.0812  disea, associ, liver, disord, abnorm, injuri, ...  we now report the first known cancer patient w...
110            110             8.0              0.1083  caus, possibl, conclus, complic, rare, suggest...  an acut ischaem event associ with the use of v...
111            111             8.0              0.0750  caus, possibl, conclus, complic, rare, suggest...  the associ of venlafaxin treatment with ischae...
112            112             8.0              0.0738  caus, possibl, conclus, complic, rare, suggest...  thi is the first report of a possibl associ be...
113            113            17.0              0.0858  develop, yearold, woman, present, week, man, f...  we present a case of an elderli woman with a p...
114            114             7.0              0.0717  patient, receiv, pulmonari, describ, seizur, i...  appar cyclophosphamid cytoxan embryopathi a di...
115            115            11.0              0.0946  case, report, thi, describ, present, previous,...  the purpos of thi report is to document a new ...
116            116            11.0              0.0894  case, report, thi, describ, present, previous,...  the purpos of thi report is to document a new ...
117            117             1.0              0.2373  disea, associ, liver, disord, abnorm, injuri, ...  the report case of in utero exposur to cyclosp...
118            118             1.0              0.2389  disea, associ, liver, disord, abnorm, injuri, ...  the report case of in utero exposur to cyclosp...
119            119             1.0              0.2437  disea, associ, liver, disord, abnorm, injuri, ...  the report case of in utero exposur to cyclosp...
120            120             1.0              0.2452  disea, associ, liver, disord, abnorm, injuri, ...  the report case of in utero exposur to cyclosp...
121            121             1.0              0.2452  disea, associ, liver, disord, abnorm, injuri, ...  the report case of in utero exposur to cyclosp...
122            122             1.0              0.2357  disea, associ, liver, disord, abnorm, injuri, ...  the report case of in utero exposur to cyclosp...
123            123             1.0              0.2437  disea, associ, liver, disord, abnorm, injuri, ...  the report case of in utero exposur to cyclosp...
124            124             5.0              0.1029  thi, review, medic, manag, literatur, import, ...  we conclud that a cyclophosphamid is a human t...
125            125             0.0              0.0776  drug, syndrom, reaction, effect, associ, adver...  in all case seizur were control by withdraw of...
126            126             7.0              0.0833  patient, receiv, pulmonari, describ, seizur, i...                  paradox seizur in phenytoin toxic
127            127             7.0              0.1046  patient, receiv, pulmonari, describ, seizur, i...  we present three patient with paradox seizur t...
128            128            12.0              0.1003  wa, symptom, follow, initi, discontinu, result...  conclus thi case suggest that losartan can ind...
129            129            10.0              0.0673  patient, toxic, sever, treatment, develop, res...                           losartaninduc angioedema
130            130            11.0              0.0984  case, report, thi, describ, present, previous,...  object to report a case of angioedema associ w...
131            131            10.0              0.0789  patient, toxic, sever, treatment, develop, res...  the incid of angioedema secondari to losartan ...
132            132            18.0              0.1138  patient, therapi, chemotherapi, treat, progres...  we report the case of a femal acromegal patien...
133            133             2.0              0.0863  pain, inject, complet, complic, success, surge...  heparininduc thrombocytopenia is a rare and se...
134            134             2.0              0.0960  pain, inject, complet, complic, success, surge...  pediatr heparininduc thrombocytopenia manag wi...
135            135             5.0              0.1014  thi, review, medic, manag, literatur, import, ...  there remain a pauciti of inform pertain to al...
136            136             2.0              0.1586  pain, inject, complet, complic, success, surge...  we report the success treatment of heparinindu...
137            137             2.0              0.1568  pain, inject, complet, complic, success, surge...  we report the success treatment of heparinindu...
138            138             4.0              0.0673  treatment, thi, corticosteroid, side_effect, s...                               taxaneinduc glaucoma
139            139            18.0              0.0872  patient, therapi, chemotherapi, treat, progres...  we report a case of glaucoma induc by doxetaxe...
140            140            13.0              0.1139  acut, renal, patient, failur, chronic, hepat, ...  acut hyperphosphatemia caus by sodium phosphat...
141            141            19.0              0.0851  level, improv, normal, increas, serum, increa,...  we report a case of acut hyperphosphatemia sec...
142            142            11.0              0.0833  case, report, thi, describ, present, previous,...  we report a case of acut hyperphosphatemia sec...
143            143             1.0              0.0770  disea, associ, liver, disord, abnorm, injuri, ...  prolong of the qt interv and ventricular tachy...
144            144             7.0              0.0750  patient, receiv, pulmonari, describ, seizur, i...  prolong of the qt interv and ventricular tachy...
145            145            11.0              0.0787  case, report, thi, describ, present, previous,...  we report a case of recurr torsad de point fol...
146            146            10.0              0.0851  patient, toxic, sever, treatment, develop, res...  emphasi is given to the differenti of diphenyl...
147            147            17.0              0.1513  develop, yearold, woman, present, week, man, f...  a 66yearold japanes woman with sever scleroder...
148            148            17.0              0.1479  develop, yearold, woman, present, week, man, f...  a 66yearold japanes woman with sever scleroder...
149            149            17.0              0.1444  develop, yearold, woman, present, week, man, f...  a 66yearold japanes woman with sever scleroder...
150            150            17.0              0.1530  develop, yearold, woman, present, week, man, f...  a 66yearold japanes woman with sever scleroder...
151            151            12.0              0.0872  wa, symptom, follow, initi, discontinu, result...  cessat of dpen and the start of corticosteroid...
152            152             3.0              0.0731  patient, wa, treat, month, year, combin, time,...  in vitro inhibit of hematopoiesi in a patient ...
153            153            14.0              0.0767  infect, transplant, blood, patient, immunosupp...  these find suggest that bicytopenia in thi pat...
154            154            17.0              0.1238  develop, yearold, woman, present, week, man, f...  a 48yearold woman who wa treat for thyrotoxico...
155            155            11.0              0.1176  case, report, thi, describ, present, previous,...  postop hypocalcem tetani caus by fleet phospho...
156            156            11.0              0.1176  case, report, thi, describ, present, previous,...  postop hypocalcem tetani caus by fleet phospho...
157            157            11.0              0.1752  case, report, thi, describ, present, previous,...  thi case report describ a patient who wa previ...
158            158            11.0              0.1838  case, report, thi, describ, present, previous,...  thi case report describ a patient who wa previ...
159            159            11.0              0.1855  case, report, thi, describ, present, previous,...  thi case report describ a patient who wa previ...
160            160            11.0              0.1838  case, report, thi, describ, present, previous,...  thi case report describ a patient who wa previ...
161            161            11.0              0.1855  case, report, thi, describ, present, previous,...  thi case report describ a patient who wa previ...
162            162            11.0              0.1752  case, report, thi, describ, present, previous,...  thi case report describ a patient who wa previ...
163            163             9.0              0.0923  day, dose, administr, oral, receiv, intraven, ...  describ here are 2 patient who develop thrombo...
164            164            18.0              0.1043  patient, therapi, chemotherapi, treat, progres...  thrombot microangiopathi with renal failur in ...
165            165            18.0              0.0965  patient, therapi, chemotherapi, treat, progres...  thrombot microangiopathi with renal failur in ...
166            166             3.0              0.1068  patient, wa, treat, month, year, combin, time,...  the first patient wa a 61yearold man with a 30...
167            167            10.0              0.0697  patient, toxic, sever, treatment, develop, res...  the relationship between infliximab treatment ...
168            168            17.0              0.0938  develop, yearold, woman, present, week, man, f...  the second is a 29yearold man with cd in whom ...
169            169             3.0              0.0824  patient, wa, treat, month, year, combin, time,...  we describ the clinic cours of 2 patient with ...
170            170             3.0              0.0660  patient, wa, treat, month, year, combin, time,...                         codein intox in the neonat
171            171             3.0              0.0820  patient, wa, treat, month, year, combin, time,...  we report a case of codein intox in the neonat...
172            172            19.0              0.1514  level, improv, normal, increas, serum, increa,...  hydroxyurea hu and sodium phenylbutyr spb have...
173            173            19.0              0.1532  level, improv, normal, increas, serum, increa,...  hydroxyurea hu and sodium phenylbutyr spb have...
174            174            19.0              0.0763  level, improv, normal, increas, serum, increa,...  of the four patient who respond to hu with an ...
175            175             9.0              0.0937  day, dose, administr, oral, receiv, intraven, ...  prolong respons were achiev with low dose of h...
176            176             9.0              0.0887  day, dose, administr, oral, receiv, intraven, ...  prolong respons were achiev with low dose of h...
177            177            19.0              0.1210  level, improv, normal, increas, serum, increa,...  sodium phenylbutyr wa ad to treatment with hu ...
178            178            19.0              0.1210  level, improv, normal, increas, serum, increa,...  sodium phenylbutyr wa ad to treatment with hu ...
179            179            19.0              0.1066  level, improv, normal, increas, serum, increa,...  we conclud that lowdos hu therapi in patient w...
180            180             3.0              0.0877  patient, wa, treat, month, year, combin, time,...  we describ the clinic respons as determin by i...
181            181            16.0              0.0859  clinic, studi, find, respon, method, signific,...  we describ the clinic respons as determin by i...
182            182            12.0              0.1085  wa, symptom, follow, initi, discontinu, result...  a 36yo patient with schizophrenia who had cons...
183            183            12.0              0.0849  wa, symptom, follow, initi, discontinu, result...    after abstin from oolong tea hi delirium resolv
184            184            15.0              0.1215  therapi, dure, sever, occur, patient, due, tre...  sever rhabdomyolysi follow massiv ingest of oo...
185            185            15.0              0.1196  therapi, dure, sever, occur, patient, due, tre...  sever rhabdomyolysi follow massiv ingest of oo...
186            186            15.0              0.1234  therapi, dure, sever, occur, patient, due, tre...  sever rhabdomyolysi follow massiv ingest of oo...
187            187            15.0              0.1196  therapi, dure, sever, occur, patient, due, tre...  sever rhabdomyolysi follow massiv ingest of oo...
188            188            15.0              0.1136  therapi, dure, sever, occur, patient, due, tre...  the clinic cours suggest that caffein which is...
189            189            15.0              0.1120  therapi, dure, sever, occur, patient, due, tre...  the clinic cours suggest that caffein which is...
190            190            15.0              0.1170  therapi, dure, sever, occur, patient, due, tre...  the clinic cours suggest that caffein which is...
191            191            15.0              0.1120  therapi, dure, sever, occur, patient, due, tre...  the clinic cours suggest that caffein which is...
192            192            15.0              0.1102  therapi, dure, sever, occur, patient, due, tre...  the possibl of sever rhabdomyolysi should be c...
193            193            15.0              0.1174  therapi, dure, sever, occur, patient, due, tre...  the possibl of sever rhabdomyolysi should be c...
194            194            15.0              0.1557  therapi, dure, sever, occur, patient, due, tre...  we hypothes that caffein toxic injur the muscl...
195            195            15.0              0.1456  therapi, dure, sever, occur, patient, due, tre...  we hypothes that caffein toxic injur the muscl...
196            196            15.0              0.1456  therapi, dure, sever, occur, patient, due, tre...  we hypothes that caffein toxic injur the muscl...
197            197            15.0              0.1389  therapi, dure, sever, occur, patient, due, tre...  we hypothes that caffein toxic injur the muscl...
198            198            15.0              0.1439  therapi, dure, sever, occur, patient, due, tre...  we hypothes that caffein toxic injur the muscl...
199            199            19.0              0.1478  level, improv, normal, increas, serum, increa,...  after the addit of citalopram a desmethylclomi...
200            200            19.0              0.1516  level, improv, normal, increas, serum, increa,...  after the addit of citalopram a desmethylclomi...
201            201            14.0              0.0859  infect, transplant, blood, patient, immunosupp...  we report 3 case of hiv1 infect patient who ex...
202            202            12.0              0.0984  wa, symptom, follow, initi, discontinu, result...  elev serum triglycerid with clozapin resolv wi...
203            203            19.0              0.1139  level, improv, normal, increas, serum, increa,...  in two patient clozapin wa reinstat after risp...
204            204            12.0              0.1136  wa, symptom, follow, initi, discontinu, result...  thi increas when clozapin wa switch to risperi...
205            205             7.0              0.0809  patient, receiv, pulmonari, describ, seizur, i...  intraven valproat associ with signific hypoten...
206            206            11.0              0.0811  case, report, thi, describ, present, previous,...  to our knowledg thi is the first report of sig...
207            207             7.0              0.0792  patient, receiv, pulmonari, describ, seizur, i...  we report a case of sever hypotens associ with...
208            208            19.0              0.0750  level, improv, normal, increas, serum, increa,...  in both patient the rippl phenomena worsen wit...
209            209             8.0              0.0851  caus, possibl, conclus, complic, rare, suggest...  a diagnosi of mask theophyllin poison should b...
210            210             8.0              0.0764  caus, possibl, conclus, complic, rare, suggest...  salicyl intox wa exclud and theophyllin wa fin...
211            211            15.0              0.0772  therapi, dure, sever, occur, patient, due, tre...  theophyllin intox mimick diabet ketoacidosi in...
212            212             8.0              0.0902  caus, possibl, conclus, complic, rare, suggest...  thi compound use by adult in the child home ha...
213            213            11.0              0.1008  case, report, thi, describ, present, previous,...  methylen blue in the treatment and prevent of ...
214            214            10.0              0.0657  patient, toxic, sever, treatment, develop, res...  ten to 15 of patient treat with ifosfamid deve...
215            215            11.0              0.0636  case, report, thi, describ, present, previous,...  we conclud that mb is an effect treatment for ...
216            216             2.0              0.1305  pain, inject, complet, complic, success, surge...  portal vein thrombosi in a patient with sever ...
217            217             2.0              0.1048  pain, inject, complet, complic, success, surge...  we report on a 14yearold boy with sever haemop...
218            218            17.0              0.0979  develop, yearold, woman, present, week, man, f...  a 60yearold woman with diabet mellitu type 2 d...
219            219            13.0              0.0828  acut, renal, patient, failur, chronic, hepat, ...                         gliclazideinduc acut hepat
220            220            13.0              0.0800  acut, renal, patient, failur, chronic, hepat, ...  in conclus thi case strongli suggest that glic...
221            221             0.0              0.0829  drug, syndrom, reaction, effect, associ, adver...  we believ that thi is the first descript of ac...
222            222            13.0              0.0757  acut, renal, patient, failur, chronic, hepat, ...  we describ the case of acut hepat induc by gli...
223            223             4.0              0.0750  treatment, thi, corticosteroid, side_effect, s...  caution is therefor need to prevent undesir ac...
224            224            19.0              0.1008  level, improv, normal, increas, serum, increa,...  cush syndrom persist more than 6 month while t...
225            225            19.0              0.1269  level, improv, normal, increas, serum, increa,...  the present patient wa treat with 200 mg tca a...
226            226             4.0              0.0873  treatment, thi, corticosteroid, side_effect, s...  both had impair lung function and abnorm compu...
227            227             4.0              0.0838  treatment, thi, corticosteroid, side_effect, s...  both had impair lung function and abnorm compu...
228            228            14.0              0.0798  infect, transplant, blood, patient, immunosupp...  bronchiol obliteran organis pneumonia associ w...
229            229             0.0              0.1008  drug, syndrom, reaction, effect, associ, adver...  the case histori are present of two patient wh...
230            230             0.0              0.0992  drug, syndrom, reaction, effect, associ, adver...  the case histori are present of two patient wh...
231            231             0.0              0.1008  drug, syndrom, reaction, effect, associ, adver...  the case histori are present of two patient wh...
232            232            11.0              0.0792  case, report, thi, describ, present, previous,...  the favour outcom in these two patient contras...
233            233            11.0              0.0792  case, report, thi, describ, present, previous,...  the favour outcom in these two patient contras...
234            234             1.0              0.0883  disea, associ, liver, disord, abnorm, injuri, ...  the spectrum of nitrofurantoin lung injuri con...
235            235            17.0              0.0744  develop, yearold, woman, present, week, man, f...  the two middl age women present with respirato...
236            236             1.0              0.0923  disea, associ, liver, disord, abnorm, injuri, ...  we suggest that the previou classif of nitrofu...
237            237            12.0              0.0763  wa, symptom, follow, initi, discontinu, result...  intraven administr of levodopa amelior a refra...
238            238            11.0              0.0937  case, report, thi, describ, present, previous,...  the present report illustr a rare case of refr...
239            239            11.0              0.0954  case, report, thi, describ, present, previous,...  the present report illustr a rare case of refr...
240            240            11.0              0.0789  case, report, thi, describ, present, previous,...  acut erythroid leukemia after cyclophosphamid ...
241            241            18.0              0.0865  patient, therapi, chemotherapi, treat, progres...  the develop of erythroid leukemia plu carcinom...
242            242             0.0              0.1715  drug, syndrom, reaction, effect, associ, adver...  sclerodermalik reaction induc by uraciltegafur...
243            243             0.0              0.1695  drug, syndrom, reaction, effect, associ, adver...  sclerodermalik reaction induc by uraciltegafur...
244            244             0.0              0.0818  drug, syndrom, reaction, effect, associ, adver...  thi is the first report of uftinduc scleroderm...
245            245             0.0              0.1025  drug, syndrom, reaction, effect, associ, adver...  we report a case of a sclerodermalik reaction ...
246            246             8.0              0.0692  caus, possibl, conclus, complic, rare, suggest...  central nervou system manifest of an ibuprofen...
247            247             5.0              0.1102  thi, review, medic, manag, literatur, import, ...  ibuprofen overdos is usual character by gi ups...
248            248             5.0              0.1045  thi, review, medic, manag, literatur, import, ...  ibuprofen overdos is usual character by gi ups...
249            249             5.0              0.1083  thi, review, medic, manag, literatur, import, ...  ibuprofen overdos is usual character by gi ups...
250            250             5.0              0.0833  thi, review, medic, manag, literatur, import, ...  present treatment of acut ibuprofen intox with...
251            251            19.0              0.0846  level, improv, normal, increas, serum, increa,...  we report the case of an 11monthold femal infa...
252            252            13.0              0.0984  acut, renal, patient, failur, chronic, hepat, ...  flecainideassoci pneumon with acut respiratori...
253            253            13.0              0.1004  acut, renal, patient, failur, chronic, hepat, ...  flecainideassoci pneumon with acut respiratori...
254            254             0.0              0.0906  drug, syndrom, reaction, effect, associ, adver...  flecainid is a rare caus of hypersensit pneumo...
255            255             0.0              0.0998  drug, syndrom, reaction, effect, associ, adver...  we describ a case of interstiti hypoxaemi pneu...
256            256             1.0              0.0820  disea, associ, liver, disord, abnorm, injuri, ...  sagitt sinu thrombosi associ with transient fr...
257            257             1.0              0.0838  disea, associ, liver, disord, abnorm, injuri, ...  sagitt sinu thrombosi associ with transient fr...
258            258            10.0              0.1086  patient, toxic, sever, treatment, develop, res...  we report the case of an adult patient with ac...
259            259            10.0              0.1053  patient, toxic, sever, treatment, develop, res...  we report the case of an adult patient with ac...
260            260             7.0              0.0789  patient, receiv, pulmonari, describ, seizur, i...  we report on a young adolesc with benign intra...
261            261            17.0              0.1102  develop, yearold, woman, present, week, man, f...  we report 2 patient who develop polyarter nodo...
262            262             7.0              0.0800  patient, receiv, pulmonari, describ, seizur, i...  in thi case it wa suspect that a combin of cig...
263            263             2.0              0.1103  pain, inject, complet, complic, success, surge...  thi case report illustr the use of continu hig...
264            264            11.0              0.0938  case, report, thi, describ, present, previous,...  howev as illustr by these and other case repor...
265            265            12.0              0.0776  wa, symptom, follow, initi, discontinu, result...  it remain to be seen whether the hepatotox ass...
266            266            12.0              0.0852  wa, symptom, follow, initi, discontinu, result...  it remain to be seen whether the hepatotox ass...
